"obs";"bio1";"bio2";"bio3";"bio4";"bio5";"bio6";"bio7";"bio8";"bio9";"bio10";"bio11";"bio12";"bio13";"bio14";"bio15";"bio16";"bio17";"bio18";"bio19"
1;94;118;39;6307;268;-28;296;21;176;176;15;1219;220;11;73;624;63;63;590
1;4;136;27;12003;235;-252;487;144;-64;144;-160;425;67;18;49;193;57;193;70
1;34;131;44;5863;204;-91;295;-19;112;114;-30;914;155;15;68;425;56;63;406
1;58;142;37;8053;266;-116;382;138;-44;163;-44;379;66;13;53;166;48;138;48
1;72;85;38;4846;206;-17;223;21;135;137;16;2082;345;42;63;971;148;172;903
1;58;99;38;5580;213;-45;258;-2;131;133;-7;2437;401;33;64;1167;165;183;1091
1;57;140;44;6035;248;-67;315;-8;136;137;-15;1264;217;17;67;620;83;85;567
1;78;92;39;5064;217;-17;234;22;143;145;17;2221;314;53;49;935;226;228;857
1;53;138;34;8741;272;-127;399;94;159;166;-60;344;43;21;21;111;73;83;80
1;118;173;47;7086;315;-53;368;208;146;212;32;559;83;10;44;203;50;164;157
1;73;126;37;6966;272;-64;336;-9;161;163;-15;655;82;23;35;244;85;98;225
1;101;149;48;5594;291;-16;307;39;176;176;35;1305;240;7;78;684;44;44;635
1;47;134;44;6099;221;-83;304;-11;128;129;-21;1117;191;13;70;528;58;63;523
1;107;109;42;5115;257;3;254;48;173;174;44;1543;242;23;57;689;120;123;637
1;42;110;32;7897;232;-109;341;143;-3;143;-60;369;39;21;20;108;67;108;95
1;64;136;44;6115;240;-66;306;-6;145;146;-6;1124;196;10;74;538;47;55;538
1;60;122;35;7532;262;-80;342;-28;152;158;-34;808;113;29;40;326;104;122;298
1;78;91;40;4879;214;-13;227;25;143;144;22;1905;315;36;61;886;142;160;824
1;98;98;41;4906;235;-1;236;42;162;162;38;1485;207;42;45;609;167;167;548
1;88;101;39;5383;240;-14;254;28;158;159;23;2302;373;26;63;1078;148;157;1017
1;60;97;38;5397;211;-39;250;2;131;133;-2;2614;424;36;63;1240;179;197;1158
1;-9;142;39;7771;183;-180;363;88;4;93;-103;593;64;37;17;173;128;167;143
1;57;137;43;6021;246;-66;312;-8;136;137;-14;1319;226;18;67;645;88;90;590
1;105;95;40;4866;237;5;232;51;167;167;46;1167;191;21;62;554;89;89;505
1;90;95;43;4432;217;0;217;41;147;149;37;3269;537;60;61;1481;222;268;1418
1;69;139;35;8521;284;-110;394;154;-40;180;-40;323;54;11;52;141;42;121;42
1;131;140;44;6291;315;2;313;67;214;216;60;1299;227;6;78;627;29;42;627
1;30;126;44;5617;194;-89;283;-29;106;107;-31;769;133;15;68;357;49;59;348
1;99;106;41;5119;250;-3;253;42;165;166;36;1981;317;28;59;909;147;154;848
1;81;92;37;5456;223;-23;246;18;151;151;14;1871;282;48;54;830;172;198;753
1;6;145;40;7132;213;-149;362;-73;97;98;-83;695;91;25;34;257;97;116;244
1;113;113;58;2875;221;28;193;82;148;149;76;1122;204;3;81;567;21;34;564
1;53;94;35;6116;210;-58;268;-16;132;133;-21;1941;320;37;61;924;157;172;852
1;101;86;49;3303;195;21;174;66;142;145;61;2066;320;39;58;925;159;175;874
1;94;151;38;8395;301;-92;393;196;132;204;-13;306;41;9;35;108;40;86;72
1;104;178;48;6941;297;-71;368;190;134;194;18;534;88;15;48;219;52;182;132
1;71;105;39;5691;231;-36;267;8;146;146;3;2328;393;28;66;1134;145;162;1065
1;61;57;32;4231;157;-20;177;40;98;117;12;2667;397;131;33;977;418;574;736
1;41;169;39;8825;278;-151;429;-59;148;153;-75;429;62;16;42;173;56;67;169
1;105;106;43;4906;249;5;244;50;169;169;45;1371;224;22;64;654;93;93;606
1;16;154;40;7846;218;-166;384;-46;94;119;-80;675;79;33;18;192;138;144;176
1;105;160;48;5944;304;-23;327;37;183;183;33;1184;218;7;78;619;43;43;588
1;90;102;46;4228;216;-2;218;44;144;147;40;2607;417;42;62;1208;177;199;1131
1;111;98;51;3482;218;27;191;72;153;157;68;1906;316;18;67;906;103;107;849
1;97;86;45;3841;203;14;189;55;144;148;51;2121;329;41;58;947;159;190;892
1;65;103;40;5376;221;-35;256;7;136;137;2;2244;370;28;63;1055;149;157;989
1;93;157;49;5659;286;-30;316;33;168;169;29;1215;212;5;79;618;36;50;594
1;75;145;47;5663;261;-45;306;13;150;151;9;931;166;9;69;463;53;59;423
1;64;140;29;11198;303;-165;468;178;-87;204;-87;306;62;6;70;158;24;140;24
1;115;122;47;4812;273;14;259;60;177;179;57;1397;250;10;72;705;61;72;644
1;97;110;43;4995;246;-5;251;40;162;162;36;1557;247;28;58;719;133;138;651
1;76;123;38;6755;262;-54;316;-4;164;164;-9;888;164;11;73;466;55;55;436
1;90;99;44;4435;219;-3;222;41;146;149;37;2260;366;34;63;1060;153;172;991
1;69;101;40;5306;219;-32;251;11;138;140;6;2371;377;37;61;1107;177;193;1028
1;114;159;53;4889;291;-6;297;60;178;179;57;1355;254;3;85;716;22;38;694
1;95;109;45;4676;237;-2;239;43;156;157;39;1814;284;30;60;837;135;151;775
1;36;151;40;7358;250;-124;374;-48;129;131;-58;535;74;20;36;206;75;91;191
1;82;102;42;4948;226;-15;241;28;147;148;24;1861;283;36;55;837;164;173;765
1;10;153;41;7584;202;-170;372;102;-86;108;-86;585;85;31;34;218;104;211;104
1;-4;142;40;7547;193;-161;354;-24;7;95;-95;653;65;42;13;187;142;177;147
1;34;140;36;8455;241;-147;388;139;69;145;-72;449;45;26;12;122;94;109;117
1;58;135;34;8671;270;-116;386;-48;162;166;-56;417;66;18;45;179;59;68;165
1;50;135;43;6141;237;-76;313;-15;132;132;-22;888;152;12;62;423;62;62;385
1;101;110;44;4968;247;-1;248;44;165;165;41;1211;194;22;60;568;99;99;515
1;104;107;43;4953;248;1;247;47;169;169;44;1053;155;25;51;458;107;107;417
1;69;92;39;5108;209;-26;235;14;136;138;10;2087;301;48;50;893;209;217;819
1;90;95;43;4432;217;0;217;41;147;149;37;3269;537;60;61;1481;222;268;1418
1;105;153;37;8618;319;-85;404;209;145;217;-5;214;32;9;32;78;36;64;46
1;64;136;44;6115;240;-66;306;-6;145;146;-6;1124;196;10;74;538;47;55;538
1;103;104;41;5132;253;2;251;45;170;170;40;1925;293;27;56;850;149;149;795
1;98;141;44;6282;282;-32;314;27;181;182;27;1166;205;5;78;570;30;39;570
1;84;171;42;8063;296;-109;405;166;-15;191;-15;437;65;12;47;178;43;166;43
1;52;98;37;5743;209;-54;263;-10;127;129;-16;2219;369;29;65;1071;147;164;1005
1;131;144;45;6127;316;-2;318;58;211;211;58;1313;263;2;84;685;19;19;685
1;32;86;32;6327;188;-80;268;-39;114;116;-43;1872;317;34;63;908;150;161;837
1;107;98;41;4917;245;9;236;51;172;172;48;1035;156;23;54;465;98;98;421
1;12;112;26;10800;214;-210;424;140;-50;140;-134;474;73;20;47;210;66;210;84
1;99;82;46;3456;195;19;176;61;140;144;56;2154;325;46;56;935;169;206;878
1;125;145;45;6322;312;-6;318;52;208;209;52;1130;201;4;80;555;24;31;555
1;104;88;39;4752;232;9;223;51;165;165;46;983;158;22;56;443;92;92;406
1;66;126;36;7729;273;-77;350;-25;160;167;-31;760;107;28;40;308;98;116;279
1;57;114;31;8247;262;-98;360;-40;158;164;-47;641;81;33;29;231;103;126;211
1;144;147;44;6521;338;7;331;73;230;230;68;965;159;4;70;452;35;35;437
1;91;139;50;4878;255;-19;274;38;155;156;34;1471;260;8;75;743;52;66;693
1;77;135;44;5864;263;-39;302;13;155;155;8;1375;229;16;65;661;85;85;593
1;94;93;40;4769;225;-2;227;39;155;155;35;1389;192;42;44;567;157;157;513
1;6;91;28;7623;185;-134;319;-84;-1;104;-91;904;118;50;26;320;168;199;304
1;66;143;38;7842;263;-106;369;162;99;169;-32;435;58;14;34;153;57;126;106
1;84;133;35;8326;297;-74;371;-16;186;191;-23;309;43;15;34;114;46;54;101
1;94;139;49;5033;265;-16;281;39;160;161;35;1511;272;8;77;777;52;67;722
1;-12;154;42;7207;177;-187;364;77;15;81;-99;862;91;39;21;253;152;218;225
1;37;101;33;7110;206;-100;306;-47;128;128;-54;779;114;37;42;325;118;118;298
1;65;88;40;4578;197;-21;218;17;125;128;13;2671;437;52;61;1227;188;223;1155
1;112;159;41;8113;322;-65;387;212;149;218;11;251;35;9;31;83;37;71;66
1;68;139;36;8121;279;-105;384;149;-35;174;-35;352;62;12;54;156;43;129;43
1;79;163;45;7122;275;-86;361;169;108;173;-8;561;75;12;38;195;64;158;157
1;104;88;39;4752;232;9;223;51;165;165;46;983;158;22;56;443;92;92;406
1;80;128;38;6962;281;-53;334;-2;168;171;-7;724;100;16;47;298;70;78;273
1;97;138;50;4771;260;-11;271;46;160;162;42;1465;256;6;76;736;45;61;692
1;97;86;45;3841;203;14;189;55;144;148;51;2121;329;41;58;947;159;190;892
1;79;154;47;5895;272;-50;322;15;158;158;11;929;160;8;70;456;49;49;425
1;41;172;40;8558;268;-156;424;29;-68;152;-68;454;44;31;11;128;101;110;101
1;165;146;43;6684;357;23;334;83;251;251;83;537;104;2;80;272;17;17;272
1;40;131;38;6856;239;-98;337;-38;128;129;-45;764;107;20;43;307;84;98;288
1;73;140;44;6172;255;-60;315;2;154;155;2;1151;205;10;75;561;45;53;561
1;40;98;34;6366;204;-78;282;-31;123;124;-36;1331;224;22;64;647;105;109;600
1;51;130;45;5705;218;-70;288;-11;128;128;-11;662;117;11;69;314;37;48;314
1;-9;142;39;7771;183;-180;363;88;4;93;-103;593;64;37;17;173;128;167;143
1;114;112;42;5284;268;5;263;53;182;183;49;1142;184;18;57;516;90;94;477
1;59;122;36;6948;255;-77;332;-17;150;151;-25;711;105;16;46;293;71;85;275
1;20;127;28;11116;238;-204;442;153;-46;153;-130;451;87;16;67;235;54;235;59
1;82;110;46;4432;225;-11;236;35;140;143;31;2740;479;29;69;1346;146;162;1259
1;95;102;43;4850;236;0;236;40;158;158;37;2307;378;38;63;1078;151;151;1017
1;22;159;38;8659;250;-160;410;60;128;133;-88;458;46;30;12;125;102;104;122
1;78;92;39;5064;217;-17;234;22;143;145;17;2221;314;53;49;935;226;228;857
1;89;98;40;5081;230;-10;240;31;155;155;28;1831;259;48;47;766;191;191;694
1;47;108;31;7885;244;-98;342;-45;144;149;-51;757;98;37;31;281;118;141;257
1;22;159;38;8659;250;-160;410;60;128;133;-88;458;46;30;12;125;102;104;122
1;37;88;33;6145;190;-73;263;-31;116;119;-36;1795;297;31;62;855;142;152;794
1;49;120;42;5860;214;-68;282;-14;128;128;-15;602;106;10;68;285;41;55;283
1;50;128;41;6062;235;-72;307;-15;131;131;-21;1404;241;23;64;678;106;106;630
1;93;148;46;6419;255;-63;318;167;85;176;12;510;107;13;70;269;62;249;87
1;18;132;33;8970;215;-184;399;108;-32;128;-100;526;88;24;44;215;81;205;93
1;47;88;34;5858;196;-58;254;-18;123;125;-23;2096;333;44;57;966;181;199;890
1;184;173;45;7788;363;-21;384;238;101;280;80;311;59;9;56;131;32;101;36
1;93;179;44;8023;302;-99;401;191;130;198;-8;293;50;10;47;124;35;104;58
1;154;148;43;6868;355;12;343;78;245;245;72;1457;262;7;78;722;40;40;705
1;63;95;31;7007;228;-69;297;-21;152;152;-26;1060;161;37;50;468;121;121;428
1;109;98;55;3005;209;31;178;79;147;150;75;1999;338;11;72;970;75;91;917
1;127;139;44;6363;307;-8;315;61;212;212;54;422;74;2;78;213;13;21;205
1;91;131;43;6122;266;-36;302;26;173;174;23;576;104;6;75;286;24;36;284
1;86;132;38;6987;289;-51;340;7;176;179;1;545;73;13;42;213;57;67;196
1;20;105;25;10687;219;-185;404;147;-40;147;-125;472;78;20;47;205;69;205;82
1;59;118;33;8073;265;-92;357;-37;157;164;-43;685;91;31;34;261;101;122;236
1;-8;157;42;7197;183;-185;368;81;20;85;-95;849;92;38;22;255;146;218;220
1;91;98;41;4930;232;-4;236;36;155;156;32;2038;341;34;64;963;136;159;901
1;33;123;34;8119;231;-128;359;-65;133;136;-72;485;73;24;38;197;78;86;182
1;82;70;31;5339;211;-11;222;25;153;153;20;1296;196;43;50;558;143;143;502
1;51;100;33;7047;219;-83;302;-32;141;141;-39;978;149;37;49;430;120;120;392
1;51;163;40;8138;285;-119;404;-43;151;157;-53;580;82;17;42;232;69;80;220
1;64;159;45;6443;263;-85;348;-4;148;148;-13;901;154;10;69;424;47;47;421
1;101;110;44;4968;247;-1;248;44;165;165;41;1211;194;22;60;568;99;99;515
1;101;90;41;4564;225;9;216;49;160;160;45;996;134;33;40;392;127;127;355
1;62;84;35;5267;198;-36;234;4;130;132;-1;1873;279;50;51;816;185;204;748
1;39;177;41;8589;265;-166;431;143;-20;149;-72;410;40;27;11;117;95;108;97
1;45;80;32;5842;190;-57;247;-19;121;123;-24;2230;360;42;58;1031;186;201;957
1;-13;146;39;7852;180;-191;371;85;2;89;-108;619;67;39;16;180;136;171;155
1;102;104;42;4914;243;1;242;47;166;166;43;1057;170;21;58;494;91;91;442
1;66;177;42;8126;281;-137;418;165;103;171;-40;403;65;20;38;158;65;137;82
1;92;125;39;6836;279;-41;320;11;180;180;6;643;121;7;74;339;38;38;317
1;90;106;43;4786;235;-6;241;38;152;154;34;2074;327;28;59;935;150;154;867
1;61;103;38;5829;223;-48;271;-3;138;138;-9;2078;352;25;66;1014;129;145;956
1;176;159;45;6842;371;21;350;106;264;264;90;348;63;0;80;181;4;4;170
1;14;158;42;7414;204;-166;370;105;46;110;-79;707;85;35;23;221;121;194;172
1;5;90;28;7459;183;-130;313;-81;-3;102;-88;839;108;49;25;292;163;189;277
1;68;164;44;6845;284;-83;367;-15;156;159;-15;583;94;9;60;258;42;44;258
1;168;161;48;6465;338;3;335;243;201;251;86;368;99;4;96;227;22;198;65
1;116;168;47;7008;307;-50;357;204;143;209;30;490;83;11;50;197;47;166;135
1;37;106;31;7888;225;-114;339;138;-8;138;-64;419;45;24;19;121;76;121;111
1;103;93;40;4822;236;8;228;48;166;166;45;1272;183;33;48;542;135;135;493
1;39;157;40;7663;262;-125;387;-46;134;140;-57;686;93;21;36;254;88;104;247
1;27;150;40;7725;229;-146;375;124;55;129;-67;459;53;24;18;138;91;122;113
1;96;143;47;5599;282;-18;300;33;170;170;31;868;154;8;69;435;46;55;394
1;74;158;42;7330;291;-82;373;-11;166;171;-17;264;31;12;24;85;46;54;72
1;52;157;39;8191;263;-135;398;117;88;159;-51;501;53;26;15;135;107;115;119
1;100;109;44;4942;244;-3;247;44;164;164;40;1160;176;25;53;517;113;113;464
1;141;157;46;6727;317;-18;335;222;173;229;58;464;87;8;62;219;36;186;113
1;95;93;50;3396;197;14;183;59;137;140;55;2355;374;38;61;1085;164;176;1020
1;125;145;45;6322;312;-6;318;52;208;209;52;1130;201;4;80;555;24;31;555
1;68;99;40;5138;217;-28;245;14;136;138;9;2399;393;29;62;1121;159;167;1048
1;38;149;38;8239;258;-134;392;-50;147;147;-64;596;62;28;23;178;99;99;174
1;85;106;47;4130;216;-5;221;41;138;141;37;2908;502;32;68;1417;160;174;1327
1;10;135;35;8578;205;-179;384;115;-35;115;-105;479;57;19;27;155;73;155;123
1;81;90;38;5068;216;-16;232;24;146;147;20;1772;255;48;49;752;180;197;686
1;89;98;40;5081;230;-10;240;31;155;155;28;1831;259;48;47;766;191;191;694
1;29;129;44;5762;197;-93;290;-33;107;107;-34;555;93;15;59;247;51;61;240
1;143;146;46;5869;330;18;312;75;220;222;75;541;101;2;82;272;8;15;272
1;102;112;44;5000;252;0;252;45;167;167;41;1336;218;24;59;625;115;115;562
1;86;132;38;6987;289;-51;340;7;176;179;1;545;73;13;42;213;57;67;196
1;53;140;44;6211;234;-81;315;-8;135;136;-19;946;163;13;70;446;53;58;444
1;98;95;42;4553;227;3;224;46;156;156;42;1129;153;38;41;450;140;140;405
1;22;75;28;6819;160;-101;261;76;-31;111;-61;707;90;39;27;253;125;196;146
1;50;114;33;7723;242;-96;338;-41;148;150;-47;544;89;13;54;250;57;62;228
1;62;117;32;8116;267;-89;356;-35;160;167;-41;698;92;33;33;263;105;127;238
1;47;142;37;7871;264;-114;378;85;143;150;-52;461;54;29;22;139;97;116;124
1;79;130;42;6344;256;-52;308;7;138;164;7;476;83;7;69;228;32;32;228
1;64;154;44;6418;266;-77;343;-7;147;150;-14;525;91;16;58;248;56;62;231
1;11;107;30;8005;193;-156;349;-87;8;111;-93;720;72;39;16;205;135;197;198
1;70;117;33;8059;267;-84;351;152;25;173;-35;309;34;17;22;93;56;93;80
1;81;150;46;6139;278;-48;326;12;162;162;8;900;154;10;63;431;59;59;386
1;69;177;41;8519;291;-138;429;171;-42;178;-42;372;42;21;20;120;75;102;75
1;113;148;49;5345;292;-5;297;53;182;184;49;1292;230;5;77;657;39;53;624
1;54;98;37;5850;211;-52;263;-11;131;132;-15;2104;347;34;62;1005;159;174;930
1;4;100;31;7672;174;-144;318;-48;0;102;-93;768;103;29;33;263;108;185;214
1;74;93;41;4689;209;-15;224;24;135;137;20;2839;468;50;62;1315;192;225;1243
1;46;92;33;6369;201;-75;276;-27;128;128;-33;1295;196;44;50;566;148;148;518
1;58;130;37;7350;267;-84;351;-25;151;155;-32;976;137;29;41;392;123;135;361
1;58;177;39;9179;296;-154;450;50;-62;176;-62;320;34;17;20;93;56;82;56
1;92;98;47;3965;209;3;206;49;142;145;45;2621;418;43;62;1209;177;199;1134
1;78;103;45;4342;212;-12;224;32;134;137;28;2573;434;33;66;1238;154;172;1155
1;110;116;43;5296;268;2;266;49;178;179;45;1059;181;15;62;506;78;85;465
1;4;129;36;7735;201;-150;351;-82;108;108;-86;642;69;38;17;192;129;129;187
1;36;157;41;7650;234;-143;377;137;-59;137;-59;535;87;16;51;229;59;229;59
1;160;143;43;6475;348;20;328;81;244;244;81;890;180;1;83;457;16;16;457
1;72;162;41;7864;299;-95;394;-17;170;176;-26;320;38;10;33;113;41;53;103
1;109;111;43;5163;260;2;258;49;174;175;44;1299;206;22;55;583;113;118;539
1;102;161;45;6977;292;-59;351;190;130;195;18;660;92;12;42;230;62;187;196
1;92;107;46;4579;230;-2;232;41;151;153;38;2119;335;35;61;977;150;172;915
1;55;91;36;5632;203;-48;251;-8;127;129;-12;2160;337;41;57;986;185;199;911
1;120;134;48;5128;290;11;279;63;187;189;59;1018;179;8;70;509;49;57;462
1;51;158;39;8079;278;-120;398;-42;150;155;-54;644;88;18;39;247;76;92;239
1;109;139;38;8057;314;-50;364;10;206;213;5;197;33;5;48;88;24;26;79
1;83;158;35;10262;319;-132;451;188;-50;216;-50;421;79;7;69;218;27;183;27
1;106;95;53;2905;205;29;176;78;142;146;73;1934;353;4;82;1004;35;55;976
1;84;150;48;5613;271;-38;309;23;159;159;19;1159;207;8;74;588;50;58;549
1;47;88;34;5858;196;-58;254;-18;123;125;-23;2096;333;44;57;966;181;199;890
1;86;170;43;7983;292;-103;395;182;125;190;-15;299;55;14;52;136;44;116;53
1;68;99;40;5138;217;-28;245;14;136;138;9;2399;393;29;62;1121;159;167;1048
1;1;117;31;7998;196;-171;367;81;-49;102;-100;632;73;36;19;185;123;182;168
1;76;84;36;5220;214;-19;233;20;145;146;16;1598;268;37;61;747;128;144;688
1;47;157;38;8817;275;-138;413;86;-64;162;-64;256;30;13;22;82;45;70;45
1;60;148;42;7191;254;-96;350;-19;87;155;-26;493;59;15;32;158;67;127;146
0;157;126;60;2935;262;55;207;124;191;197;122;379;88;0;100;225;2;4;222
0;-54;105;28;9244;142;-223;365;57;-62;68;-165;639;79;28;30;226;101;219;138
0;-57;104;20;14227;198;-317;515;106;-227;118;-247;473;71;17;46;197;55;194;59
0;1;119;24;12335;231;-251;482;138;-91;150;-168;844;104;34;33;301;128;291;137
0;208;169;44;7641;404;28;376;304;239;307;114;198;31;2;50;73;11;52;62
0;-89;111;23;12931;160;-316;476;78;-174;78;-248;476;76;25;40;193;79;193;82
0;155;137;38;7861;330;-29;359;154;50;253;50;1422;164;80;20;440;303;316;303
0;-73;91;17;15411;192;-337;529;105;-193;122;-270;272;42;11;44;110;36;101;46
0;71;158;38;8809;293;-121;414;160;-27;188;-38;462;84;9;68;237;34;204;34
0;-73;110;20;14945;203;-329;532;120;-171;120;-259;321;45;16;36;119;50;119;60
0;-23;104;24;11746;192;-232;424;109;-148;126;-173;511;102;20;61;251;65;234;73
0;-57;127;23;14809;219;-317;536;130;-146;130;-247;265;51;7;62;135;25;135;35
0;-111;84;16;14836;145;-360;505;72;-295;73;-298;289;45;6;55;130;26;115;29
0;-102;101;20;14802;163;-336;499;90;-211;90;-283;164;30;5;58;78;19;78;25
0;45;114;27;10104;253;-159;412;-57;-33;173;-90;1105;110;82;10;319;254;274;294
0;131;166;41;8356;343;-56;399;233;171;240;25;255;41;7;42;102;31;82;57
0;88;169;42;7710;313;-83;396;1;186;191;-6;216;25;9;27;71;33;39;70
0;118;132;31;10117;331;-92;423;222;-16;247;-16;723;109;15;54;307;55;288;55
0;16;138;31;10102;224;-208;432;137;-39;137;-121;576;108;19;66;296;68;296;72
0;-56;84;19;12492;152;-290;442;88;-166;92;-224;642;91;26;42;258;86;235;95
0;126;114;29;9624;315;-73;388;223;-3;245;-3;971;138;30;44;364;97;341;97
0;13;131;27;11575;234;-237;471;140;-72;152;-146;753;88;42;25;247;136;240;137
0;120;131;38;7585;319;-24;343;29;213;219;24;208;32;5;43;87;24;26;79
0;42;68;31;5112;155;-60;215;48;62;109;-19;1677;258;79;38;647;253;335;419
0;-16;105;29;8864;167;-186;353;47;-19;97;-127;987;123;49;27;338;162;275;227
0;244;174;58;4893;379;83;296;303;230;303;181;412;129;2;114;298;10;298;54
0;23;114;25;11442;237;-217;454;149;-60;161;-135;952;104;56;22;307;175;299;195
0;-85;90;17;15031;174;-342;516;90;-204;104;-277;300;45;12;41;120;41;115;51
0;-137;82;15;15494;132;-383;515;56;-326;61;-326;184;34;4;67;95;14;84;14
0;7;112;22;13213;246;-248;494;167;-173;167;-173;451;70;14;52;199;52;199;52
0;168;190;49;7434;363;-20;383;257;205;264;74;287;56;6;67;143;22;119;65
0;32;128;35;7642;234;-124;358;-55;125;132;-63;738;79;41;21;232;143;167;218
0;244;136;50;5357;371;102;269;311;261;311;175;212;62;0;109;150;4;150;35
0;85;121;49;4470;235;-11;246;39;144;146;35;1539;270;10;73;772;63;79;711
0;-57;89;20;12284;163;-281;444;88;-92;92;-218;526;68;26;31;187;84;180;105
0;-48;89;20;12377;156;-288;444;92;-214;94;-215;660;95;24;45;266;79;234;94
0;-51;111;22;14645;206;-297;503;108;-208;134;-236;392;87;16;64;193;53;187;56
0;-149;68;14;14910;118;-365;483;41;-322;50;-322;127;26;3;72;69;11;59;11
0;70;115;25;11466;284;-159;443;210;-87;210;-87;814;111;20;50;328;71;328;71
0;-103;65;16;11505;97;-293;390;38;-248;42;-248;293;45;8;50;123;28;106;28
0;14;118;31;8784;200;-170;370;122;-40;122;-102;569;86;27;45;243;87;243;100
0;47;134;27;12123;286;-198;484;172;-118;196;-118;501;91;11;61;225;37;223;37
0;188;186;56;5045;342;13;329;236;133;245;117;353;85;4;98;222;16;182;20
0;3;105;20;13627;240;-262;502;168;-183;168;-183;455;69;15;49;192;56;192;56
0;-39;94;20;12665;178;-286;464;106;-139;115;-211;822;111;35;39;325;120;309;126
0;-87;107;21;14113;179;-320;499;96;-183;96;-260;418;66;20;44;178;65;178;67
0;39;141;38;7961;249;-116;365;72;-57;145;-57;374;44;21;22;122;67;104;67
0;-48;92;20;12456;172;-285;457;97;-201;107;-215;842;109;42;31;306;141;293;147
0;-7;95;29;7768;172;-152;324;-100;-12;93;-106;862;104;46;22;286;158;211;272
0;-53;100;18;15309;212;-320;532;136;-159;136;-254;293;43;13;39;114;43;114;50
0;-92;90;17;15345;172;-357;529;89;-279;101;-288;286;46;10;51;126;34;121;36
0;35;129;26;12604;274;-216;490;187;-138;187;-138;437;77;11;61;203;39;203;39
0;35;141;31;10435;264;-183;447;143;-25;166;-103;358;65;14;53;162;47;148;52
0;-84;98;18;15679;197;-334;531;119;-199;119;-276;244;39;10;45;100;33;100;41
0;-112;68;16;12489;111;-313;424;45;-263;51;-263;207;41;4;68;105;14;88;14
0;98;131;38;7115;301;-38;339;14;188;192;10;494;66;13;41;195;54;62;178
0;166;110;55;3058;264;67;197;130;200;208;129;233;46;0;87;129;2;5;122
0;95;89;42;4311;219;9;210;46;149;151;42;2177;343;43;61;991;151;186;926
0;-2;114;23;12338;225;-252;477;134;-155;146;-173;886;114;32;37;331;126;315;137
0;-8;118;23;12935;230;-272;502;150;-169;150;-184;732;92;32;34;265;108;265;113
0;229;104;49;3742;325;115;210;264;178;273;178;1328;192;58;41;495;190;493;190
0;18;125;25;12497;255;-228;483;168;-152;168;-152;361;62;13;55;166;48;166;48
0;36;151;40;7358;250;-124;374;-48;129;131;-58;535;74;20;36;206;75;91;191
0;19;107;23;11659;233;-216;449;147;-66;161;-142;960;119;56;24;321;171;312;204
0;-95;91;17;15391;172;-358;530;88;-283;99;-290;287;48;8;56;132;30;124;32
0;-44;97;18;14798;208;-310;518;121;-154;138;-240;292;39;12;42;112;37;101;48
0;74;148;35;9202;307;-110;417;115;-41;196;-41;285;51;11;47;122;36;79;36
0;-32;98;19;13839;207;-293;500;126;-199;137;-220;587;88;19;48;246;70;241;73
0;-116;86;16;15538;155;-370;525;75;-305;83;-307;209;36;5;63;103;17;93;19
0;86;170;42;7730;316;-83;399;-4;183;189;-9;237;29;8;28;76;37;46;66
0;-67;108;20;15445;213;-327;540;106;-171;132;-260;315;42;16;33;109;50;108;60
0;139;162;39;8773;342;-68;410;228;24;251;24;474;75;10;59;212;37;206;37
0;76;128;36;7828;286;-69;355;-18;173;177;-24;376;52;16;37;146;50;58;129
0;-6;109;23;11806;209;-251;460;137;-91;137;-170;1011;136;50;31;361;161;361;182
0;-39;113;27;10149;166;-238;404;76;-40;88;-171;553;66;20;26;179;87;172;139
0;-34;99;21;12184;176;-283;459;105;-141;105;-199;549;75;17;46;212;61;199;78
0;-16;109;21;13439;222;-280;502;148;-180;148;-199;676;98;23;44;271;85;271;87
0;-109;86;16;15497;160;-365;525;80;-297;88;-301;221;38;6;59;106;21;98;22
0;14;113;22;13237;249;-252;501;172;-145;172;-169;540;82;18;47;226;70;226;70
0;-123;54;14;10818;66;-296;362;-90;-258;16;-258;345;52;9;48;141;34;98;34
0;-75;96;18;15135;187;-344;531;99;-259;113;-273;349;56;11;50;153;41;150;44
0;-51;102;19;15348;215;-320;535;138;-156;138;-253;292;43;13;39;113;43;113;50
0;-32;88;29;7578;126;-174;300;26;-45;69;-121;1402;162;75;25;461;246;380;321
0;160;154;38;8468;354;-42;396;247;48;267;48;517;85;13;53;209;46;199;46
0;12;109;31;8312;189;-155;344;115;-42;115;-96;581;82;28;39;233;95;233;105
0;96;165;37;9385;324;-114;438;193;-23;219;-23;375;72;6;72;199;20;171;20
0;155;131;35;8255;334;-31;365;156;258;258;44;1286;140;80;18;396;267;267;290
0;-29;117;22;14132;226;-299;525;143;-194;143;-222;499;78;17;48;214;61;214;64
0;-113;93;19;13830;135;-331;466;50;-279;69;-279;296;64;10;62;142;45;139;45
0;-70;73;17;11949;128;-291;419;70;-231;70;-231;448;68;17;46;185;53;185;53
0;71;101;27;9365;262;-103;365;180;-44;188;-53;953;92;60;11;258;202;255;218
0;-17;117;23;13450;223;-278;501;142;-92;142;-199;410;68;19;47;183;61;183;65
0;101;110;44;4968;247;-1;248;44;165;165;41;1211;194;22;60;568;99;99;515
0;131;128;35;8312;306;-53;359;130;191;233;18;1316;130;78;13;370;286;343;315
0;141;128;35;8435;319;-42;361;141;202;246;28;1275;137;75;15;371;250;295;340
0;-3;124;25;12580;223;-264;487;145;-73;145;-177;460;88;16;59;226;53;226;66
